group_id,click_count,impression_count,conversion_count,date
52740,0,1,0,2024-01-22
52758,0,1,0,2024-01-22
64336,2,12,0,2024-01-22
186281,0,1,0,2024-01-22
52708,0,4,0,2024-01-22
1094,0,3,0,2024-01-22
1059,0,1,0,2024-01-22
94861,0,1,0,2024-01-22
1061,0,1,0,2024-01-22
1128,0,1,0,2024-01-22
52740,0,14,0,2024-01-22
101191,0,1,0,2024-01-22
1061,0,1,0,2024-01-22
52740,0,2,0,2024-01-22
2163,0,1,0,2024-01-22
144439,0,1,0,2024-01-22
94900,0,1,0,2024-01-22
144405,0,3,0,2024-01-22
118113,0,1,0,2024-01-22
101247,0,1,0,2024-01-22
52753,1,5,0,2024-01-22
64349,0,3,0,2024-01-22
185721,0,2,0,2024-01-22
52740,10,101,0,2024-01-22
1061,0,2,0,2024-01-22
52758,0,5,0,2024-01-22
64511,0,4,0,2024-01-22
52740,5,177,0,2024-01-22
1061,0,2,0,2024-01-22
1061,0,1,0,2024-01-22
3205,1,1,0,2024-01-22
94861,0,1,0,2024-01-22
52725,16,27,0,2024-01-22
64336,0,1,0,2024-01-22
1061,0,1,0,2024-01-22
1094,0,3,0,2024-01-22
52708,1,34,0,2024-01-22
1101,0,1,0,2024-01-22
52758,0,5,0,2024-01-22
52740,3,8,0,2024-01-22
1094,0,4,0,2024-01-22
64301,0,5,0,2024-01-22
52747,0,1,0,2024-01-22
1096,0,1,0,2024-01-22
3775,0,1,0,2024-01-22
4248,0,1,0,2024-01-22
1062,1,7,0,2024-01-22
1106,0,1,0,2024-01-22
52753,2,42,0,2024-01-22
185559,0,1,0,2024-01-22
52708,0,1,0,2024-01-22
52708,0,3,0,2024-01-22
4217,0,2,0,2024-01-22
52753,0,1,0,2024-01-22
1061,0,1,0,2024-01-22
1094,0,4,0,2024-01-22
2115,0,3,0,2024-01-22
1094,0,1,0,2024-01-22
1094,0,7,0,2024-01-22
52708,0,1,0,2024-01-22
52758,0,6,0,2024-01-22
1094,0,2,0,2024-01-22
52753,0,29,0,2024-01-22
64349,0,1,0,2024-01-22
145527,0,2,0,2024-01-22
52740,0,2,0,2024-01-22
1055,0,1,0,2024-01-22
1061,0,8,0,2024-01-22
4223,0,5,0,2024-01-22
52758,1,7,0,2024-01-22
52708,1,3,0,2024-01-22
52708,2,18,0,2024-01-22
1094,0,1,0,2024-01-22
1101,0,1,0,2024-01-22
1062,0,1,0,2024-01-22
52708,0,1,0,2024-01-22
4256,0,2,0,2024-01-22
1094,0,2,0,2024-01-22
52725,0,3,0,2024-01-22
1061,0,1,0,2024-01-22
52740,0,41,0,2024-01-22
3186,0,1,0,2024-01-22
101216,0,2,0,2024-01-22
181335,0,3,0,2024-01-22
94861,0,2,0,2024-01-22
64336,0,1,0,2024-01-22
1061,0,1,0,2024-01-22
52708,0,1,0,2024-01-22
52740,0,22,0,2024-01-22
52753,0,33,0,2024-01-22
1101,0,1,0,2024-01-22
1094,0,1,0,2024-01-22
1059,0,1,0,2024-01-22
95967,0,1,0,2024-01-22
52740,0,1,0,2024-01-22
94900,0,1,0,2024-01-22
52708,0,1,0,2024-01-22
52708,0,2,0,2024-01-22
52758,1,5,0,2024-01-22
1094,0,2,0,2024-01-22
1094,0,2,0,2024-01-22
52740,2,88,0,2024-01-22
52725,0,2,0,2024-01-22
1094,0,1,0,2024-01-22
126488,0,1,0,2024-01-22
1059,0,1,0,2024-01-22
1062,0,3,0,2024-01-22
52708,0,7,0,2024-01-22
1094,0,1,0,2024-01-22
52740,0,4,0,2024-01-22
52758,0,1,0,2024-01-22
52753,0,12,0,2024-01-22
1094,4,29,0,2024-01-22
1061,0,2,0,2024-01-22
52708,0,2,0,2024-01-22
52740,0,2,0,2024-01-22
1101,0,1,0,2024-01-22
1094,0,4,0,2024-01-22
